k_component,pca_component,scaler,distance_metric,avg_accuracy
10,,,euclidean,0.5442
11,,,euclidean,0.5566000000000001
12,,,euclidean,0.5732
13,,,euclidean,0.5853999999999999
14,,,euclidean,0.6008
15,,,euclidean,0.599
10,500,,euclidean,0.5464
11,500,,euclidean,0.5654
12,500,,euclidean,0.5718
13,500,,euclidean,0.5925999999999999
14,500,,euclidean,0.5938
15,500,,euclidean,0.6072
10,550,,euclidean,0.5496
11,550,,euclidean,0.5551999999999999
12,550,,euclidean,0.5686
13,550,,euclidean,0.5861999999999999
14,550,,euclidean,0.6033999999999999
15,550,,euclidean,0.6003999999999999
10,600,,euclidean,0.551
11,600,,euclidean,0.5623999999999999
12,600,,euclidean,0.5652
13,600,,euclidean,0.5870000000000001
14,600,,euclidean,0.6042000000000001
15,600,,euclidean,0.6154
10,650,,euclidean,0.541
11,650,,euclidean,0.5619999999999998
12,650,,euclidean,0.5751999999999999
13,650,,euclidean,0.595
14,650,,euclidean,0.5952
15,650,,euclidean,0.6148
10,700,,euclidean,0.5406
11,700,,euclidean,0.5632
12,700,,euclidean,0.5692
13,700,,euclidean,0.5871999999999999
14,700,,euclidean,0.5886
15,700,,euclidean,0.609
10,450,,euclidean,0.5546
11,450,,euclidean,0.5674000000000001
12,450,,euclidean,0.5713999999999999
13,450,,euclidean,0.5818
14,450,,euclidean,0.5958
15,450,,euclidean,0.6067999999999999
10,,StandardScaler,euclidean,0.5574000000000001
11,,StandardScaler,euclidean,0.5551999999999999
12,,StandardScaler,euclidean,0.5700000000000002
13,,StandardScaler,euclidean,0.5782
14,,StandardScaler,euclidean,0.6024
15,,StandardScaler,euclidean,0.6054
10,500,StandardScaler,euclidean,0.45919999999999994
11,500,StandardScaler,euclidean,0.4822000000000001
12,500,StandardScaler,euclidean,0.48960000000000004
13,500,StandardScaler,euclidean,0.5027999999999999
14,500,StandardScaler,euclidean,0.5216000000000001
15,500,StandardScaler,euclidean,0.5326
10,550,StandardScaler,euclidean,0.4464
11,550,StandardScaler,euclidean,0.46839999999999987
12,550,StandardScaler,euclidean,0.49640000000000006
13,550,StandardScaler,euclidean,0.5054000000000001
14,550,StandardScaler,euclidean,0.5222
15,550,StandardScaler,euclidean,0.5314
10,600,StandardScaler,euclidean,0.45440000000000014
11,600,StandardScaler,euclidean,0.4785999999999999
12,600,StandardScaler,euclidean,0.48879999999999996
13,600,StandardScaler,euclidean,0.5016000000000002
14,600,StandardScaler,euclidean,0.5166000000000001
15,600,StandardScaler,euclidean,0.5361999999999999
10,650,StandardScaler,euclidean,0.46020000000000005
11,650,StandardScaler,euclidean,0.47720000000000007
12,650,StandardScaler,euclidean,0.4866
13,650,StandardScaler,euclidean,0.4888
14,650,StandardScaler,euclidean,0.5168000000000003
15,650,StandardScaler,euclidean,0.5297999999999999
10,700,StandardScaler,euclidean,0.4568
11,700,StandardScaler,euclidean,0.4694000000000001
12,700,StandardScaler,euclidean,0.4842
13,700,StandardScaler,euclidean,0.5086
14,700,StandardScaler,euclidean,0.5184
15,700,StandardScaler,euclidean,0.5274000000000002
10,450,StandardScaler,euclidean,0.46399999999999997
11,450,StandardScaler,euclidean,0.4746
12,450,StandardScaler,euclidean,0.5016
13,450,StandardScaler,euclidean,0.5191999999999999
14,450,StandardScaler,euclidean,0.4981999999999999
15,450,StandardScaler,euclidean,0.5336000000000001
10,,GrayScaler,euclidean,0.5514
11,,GrayScaler,euclidean,0.5615999999999999
12,,GrayScaler,euclidean,0.5752
13,,GrayScaler,euclidean,0.5835999999999999
14,,GrayScaler,euclidean,0.5988000000000001
15,,GrayScaler,euclidean,0.6007999999999999
10,500,GrayScaler,euclidean,0.5468
11,500,GrayScaler,euclidean,0.5634
12,500,GrayScaler,euclidean,0.5658000000000001
13,500,GrayScaler,euclidean,0.5833999999999999
14,500,GrayScaler,euclidean,0.5948
15,500,GrayScaler,euclidean,0.6042
10,550,GrayScaler,euclidean,0.549
11,550,GrayScaler,euclidean,0.562
12,550,GrayScaler,euclidean,0.5634
13,550,GrayScaler,euclidean,0.5748
14,550,GrayScaler,euclidean,0.6034
15,550,GrayScaler,euclidean,0.6083999999999998
10,600,GrayScaler,euclidean,0.55
11,600,GrayScaler,euclidean,0.559
12,600,GrayScaler,euclidean,0.5724
13,600,GrayScaler,euclidean,0.5885999999999999
14,600,GrayScaler,euclidean,0.6016
15,600,GrayScaler,euclidean,0.6048
10,650,GrayScaler,euclidean,0.5472
