k_neighbors,pca_component,scaler,distance_metric,avg_accuracy
3,,,euclidean,0.8500000000000001
4,,,euclidean,0.8550000000000003
5,,,euclidean,0.8500000000000001
6,,,euclidean,0.8599999999999998
7,,,euclidean,0.8550000000000003
8,,,euclidean,0.8599999999999998
3,500,,euclidean,0.8500000000000001
4,500,,euclidean,0.8550000000000003
5,500,,euclidean,0.8500000000000001
6,500,,euclidean,0.8599999999999998
7,500,,euclidean,0.8550000000000003
8,500,,euclidean,0.8599999999999998
3,550,,euclidean,0.8500000000000001
4,550,,euclidean,0.8550000000000003
5,550,,euclidean,0.8500000000000001
6,550,,euclidean,0.8599999999999998
7,550,,euclidean,0.8550000000000003
8,550,,euclidean,0.8599999999999998
3,600,,euclidean,0.8500000000000001
4,600,,euclidean,0.8550000000000003
5,600,,euclidean,0.8500000000000001
6,600,,euclidean,0.8599999999999998
7,600,,euclidean,0.8550000000000003
8,600,,euclidean,0.8599999999999998
3,650,,euclidean,0.8500000000000001
4,650,,euclidean,0.8550000000000003
5,650,,euclidean,0.8500000000000001
6,650,,euclidean,0.8599999999999998
7,650,,euclidean,0.8550000000000003
8,650,,euclidean,0.8599999999999998
3,700,,euclidean,0.8500000000000001
4,700,,euclidean,0.8550000000000003
5,700,,euclidean,0.8500000000000001
6,700,,euclidean,0.8599999999999998
7,700,,euclidean,0.8550000000000003
8,700,,euclidean,0.8599999999999998
3,450,,euclidean,0.8500000000000001
4,450,,euclidean,0.8550000000000003
5,450,,euclidean,0.8500000000000001
6,450,,euclidean,0.8599999999999998
7,450,,euclidean,0.8550000000000003
8,450,,euclidean,0.8599999999999998
3,,StandardScaler,euclidean,0.8500000000000001
4,,StandardScaler,euclidean,0.8550000000000003
5,,StandardScaler,euclidean,0.8500000000000001
6,,StandardScaler,euclidean,0.8599999999999998
7,,StandardScaler,euclidean,0.8550000000000003
8,,StandardScaler,euclidean,0.8599999999999998
3,500,StandardScaler,euclidean,0.8299999999999996
4,500,StandardScaler,euclidean,0.8249999999999996
5,500,StandardScaler,euclidean,0.81
6,500,StandardScaler,euclidean,0.81
7,500,StandardScaler,euclidean,0.7950000000000003
8,500,StandardScaler,euclidean,0.785
3,550,StandardScaler,euclidean,0.8249999999999996
4,550,StandardScaler,euclidean,0.8249999999999996
5,550,StandardScaler,euclidean,0.81
6,550,StandardScaler,euclidean,0.81
7,550,StandardScaler,euclidean,0.8000000000000003
8,550,StandardScaler,euclidean,0.785
3,600,StandardScaler,euclidean,0.8249999999999996
4,600,StandardScaler,euclidean,0.8249999999999996
5,600,StandardScaler,euclidean,0.81
6,600,StandardScaler,euclidean,0.81
7,600,StandardScaler,euclidean,0.7950000000000003
8,600,StandardScaler,euclidean,0.785
3,650,StandardScaler,euclidean,0.8202000000000002
4,650,StandardScaler,euclidean,0.8204
5,650,StandardScaler,euclidean,0.8051999999999998
6,650,StandardScaler,euclidean,0.8051999999999998
7,650,StandardScaler,euclidean,0.7901999999999996
8,650,StandardScaler,euclidean,0.78
3,700,StandardScaler,euclidean,0.8204000000000002
4,700,StandardScaler,euclidean,0.8202000000000002
5,700,StandardScaler,euclidean,0.8053999999999999
6,700,StandardScaler,euclidean,0.8055999999999999
7,700,StandardScaler,euclidean,0.7903999999999998
8,700,StandardScaler,euclidean,0.7802
3,450,StandardScaler,euclidean,0.8299999999999996
4,450,StandardScaler,euclidean,0.8249999999999996
5,450,StandardScaler,euclidean,0.81
6,450,StandardScaler,euclidean,0.81
7,450,StandardScaler,euclidean,0.8000000000000003
8,450,StandardScaler,euclidean,0.785
3,,GrayScaler,euclidean,0.8500000000000001
4,,GrayScaler,euclidean,0.8550000000000003
5,,GrayScaler,euclidean,0.8500000000000001
6,,GrayScaler,euclidean,0.8599999999999998
7,,GrayScaler,euclidean,0.8550000000000003
8,,GrayScaler,euclidean,0.8599999999999998
3,500,GrayScaler,euclidean,0.8500000000000001
4,500,GrayScaler,euclidean,0.8550000000000003
5,500,GrayScaler,euclidean,0.8500000000000001
6,500,GrayScaler,euclidean,0.8599999999999998
7,500,GrayScaler,euclidean,0.8550000000000003
8,500,GrayScaler,euclidean,0.8599999999999998
3,550,GrayScaler,euclidean,0.8500000000000001
4,550,GrayScaler,euclidean,0.8550000000000003
5,550,GrayScaler,euclidean,0.8500000000000001
6,550,GrayScaler,euclidean,0.8599999999999998
7,550,GrayScaler,euclidean,0.8550000000000003
8,550,GrayScaler,euclidean,0.8599999999999998
3,600,GrayScaler,euclidean,0.8500000000000001
4,600,GrayScaler,euclidean,0.8550000000000003
5,600,GrayScaler,euclidean,0.8500000000000001
6,600,GrayScaler,euclidean,0.8599999999999998
7,600,GrayScaler,euclidean,0.8550000000000003
8,600,GrayScaler,euclidean,0.8599999999999998
3,650,GrayScaler,euclidean,0.8500000000000001
4,650,GrayScaler,euclidean,0.8550000000000003
5,650,GrayScaler,euclidean,0.8500000000000001
6,650,GrayScaler,euclidean,0.8599999999999998
7,650,GrayScaler,euclidean,0.8550000000000003
8,650,GrayScaler,euclidean,0.8599999999999998
3,700,GrayScaler,euclidean,0.8500000000000001
4,700,GrayScaler,euclidean,0.8550000000000003
5,700,GrayScaler,euclidean,0.8500000000000001
6,700,GrayScaler,euclidean,0.8599999999999998
7,700,GrayScaler,euclidean,0.8550000000000003
8,700,GrayScaler,euclidean,0.8599999999999998
3,450,GrayScaler,euclidean,0.8500000000000001
4,450,GrayScaler,euclidean,0.8550000000000003
5,450,GrayScaler,euclidean,0.8500000000000001
6,450,GrayScaler,euclidean,0.8599999999999998
7,450,GrayScaler,euclidean,0.8550000000000003
8,450,GrayScaler,euclidean,0.8599999999999998
3,,,cosine,0.8649999999999998
4,,,cosine,0.8599999999999998
5,,,cosine,0.8550000000000003
6,,,cosine,0.8449999999999999
7,,,cosine,0.8550000000000003
8,,,cosine,0.8500000000000001
3,500,,cosine,0.8500000000000001
4,500,,cosine,0.8550000000000003
5,500,,cosine,0.8550000000000003
6,500,,cosine,0.8500000000000001
7,500,,cosine,0.8500000000000001
8,500,,cosine,0.8500000000000001
3,550,,cosine,0.8500000000000001
4,550,,cosine,0.8649999999999998
5,550,,cosine,0.8550000000000003
6,550,,cosine,0.8500000000000001
7,550,,cosine,0.8500000000000001
8,550,,cosine,0.8500000000000001
3,600,,cosine,0.8500000000000001
4,600,,cosine,0.8649999999999998
5,600,,cosine,0.8550000000000003
6,600,,cosine,0.8500000000000001
7,600,,cosine,0.8500000000000001
8,600,,cosine,0.8500000000000001
3,650,,cosine,0.8500000000000001
4,650,,cosine,0.8649999999999998
5,650,,cosine,0.8550000000000003
6,650,,cosine,0.8500000000000001
7,650,,cosine,0.8500000000000001
8,650,,cosine,0.8500000000000001
3,700,,cosine,0.8500000000000001
4,700,,cosine,0.8649999999999998
5,700,,cosine,0.8550000000000003
6,700,,cosine,0.8500000000000001
7,700,,cosine,0.8500000000000001
8,700,,cosine,0.8500000000000001
3,450,,cosine,0.8500000000000001
4,450,,cosine,0.8550000000000003
5,450,,cosine,0.8550000000000003
6,450,,cosine,0.8500000000000001
7,450,,cosine,0.8500000000000001
8,450,,cosine,0.8500000000000001
3,,StandardScaler,cosine,0.8649999999999998
4,,StandardScaler,cosine,0.8599999999999998
5,,StandardScaler,cosine,0.8550000000000003
6,,StandardScaler,cosine,0.8449999999999999
7,,StandardScaler,cosine,0.8550000000000003
8,,StandardScaler,cosine,0.8500000000000001
3,500,StandardScaler,cosine,0.8049999999999998
4,500,StandardScaler,cosine,0.81
5,500,StandardScaler,cosine,0.8049999999999998
6,500,StandardScaler,cosine,0.7950000000000003
7,500,StandardScaler,cosine,0.785
8,500,StandardScaler,cosine,0.7899999999999996
3,550,StandardScaler,cosine,0.8049999999999998
4,550,StandardScaler,cosine,0.81
5,550,StandardScaler,cosine,0.8049999999999998
6,550,StandardScaler,cosine,0.7950000000000003
7,550,StandardScaler,cosine,0.785
8,550,StandardScaler,cosine,0.7899999999999996
3,600,StandardScaler,cosine,0.8049999999999998
4,600,StandardScaler,cosine,0.81
5,600,StandardScaler,cosine,0.8049999999999998
6,600,StandardScaler,cosine,0.7950000000000003
7,600,StandardScaler,cosine,0.785
8,600,StandardScaler,cosine,0.7899999999999996
3,650,StandardScaler,cosine,0.8049999999999998
4,650,StandardScaler,cosine,0.81
5,650,StandardScaler,cosine,0.8049999999999998
6,650,StandardScaler,cosine,0.7950000000000003
7,650,StandardScaler,cosine,0.785
8,650,StandardScaler,cosine,0.7899999999999996
3,700,StandardScaler,cosine,0.8049999999999998
